Codice Fiscale,Codice Fiscale -RegEx
WCWBOF80S38W069K,WCWBOF80S38W069K
WCUTNP85X73A852E,WCUTNP85X73A852E
WCDCIM84X82A491N,WCDCIM84X82A491N
WBTFFS93T85Y595J,WBTFFS93T85Y595J
WBTDNZ87K40R775Q,WBTDNZ87K40R775Q
W36SQWX6MGF9B621,Codice Fiscale non valido
VVWIMLF8CSBT01H6,Codice Fiscale non valido
VVQWBT30A16A646G,VVQWBT30A16A646G
VUEFNU97Z16A299E,VUEFNU97Z16A299E
VTSIXBDYDNT67A69,Codice Fiscale non valido
VPOADT78L77U543D,VPOADT78L77U543D
VNMDUA4RQE0QDPH1,Codice Fiscale non valido
VGTHVA36X15L530X,VGTHVA36X15L530X
VCSHAG16X74K331B,VCSHAG16X74K331B
V7XT3U9T52R69XGV,Codice Fiscale non valido
UWU6AOEH7R57JO2T,Codice Fiscale non valido
UWDBKL08N91W276Q,UWDBKL08N91W276Q
UVIWHI83U89D962X,UVIWHI83U89D962X
UUYFTB61W82Z394Z,UUYFTB61W82Z394Z
UUFGZM04L73C879G,UUFGZM04L73C879G
UUAJBU24K15G480L,UUAJBU24K15G480L
URAGIV27W00A051R,URAGIV27W00A051R
UOKKYW07F15O745P,UOKKYW07F15O745P
ULMUAK46M31P681U,ULMUAK46M31P681U
ULHRNC44P89V585B,ULHRNC44P89V585B
UJBQJG19U48M541P,UJBQJG19U48M541P
UEVYWW73M99M391M,UEVYWW73M99M391M
UEGVVO79I92F527U,UEGVVO79I92F527U
UBBZHB53A48V620J,UBBZHB53A48V620J
TXHYTM53C69Z072I,TXHYTM53C69Z072I
TPUCVJ73G12J295N,TPUCVJ73G12J295N
TMYHM5RKIXM73J6M,Codice Fiscale non valido
TKVRAF02G76J472X,TKVRAF02G76J472X
TJXWRD90P83K490T,TJXWRD90P83K490T
TFOIYF61E19U772H,TFOIYF61E19U772H
TDDWJY78Y52Q333B,TDDWJY78Y52Q333B
SXFLVR01P24Y418Z,SXFLVR01P24Y418Z
SWWBMW12G04L848U,SWWBMW12G04L848U
SQCIAM885M4A4URA,Codice Fiscale non valido
SOXXCN51R43A468D,SOXXCN51R43A468D
SMTAXT47Y30P116B,SMTAXT47Y30P116B
SJBXBCRL929SIREI,Codice Fiscale non valido
SEHBND10C82H581Z,SEHBND10C82H581Z
SBHYDQ16Q84Y706G,SBHYDQ16Q84Y706G
RYMLKE08K85X327S,RYMLKE08K85X327S
RXOCDG53C71Q322L,RXOCDG53C71Q322L
RWPMTK56X25E542Y,RWPMTK56X25E542Y
RSKHQC19W04J344I,RSKHQC19W04J344I
RRSGZS45P97Y399G,RRSGZS45P97Y399G
RPAJQIBJPMKD1OGC,Codice Fiscale non valido
ROZJZJ88M42V100G,ROZJZJ88M42V100G
RDWPHR93C83Y994H,RDWPHR93C83Y994H
RBZWCS95Q18V086S,RBZWCS95Q18V086S
R1D2YAVLESAN721G,Codice Fiscale non valido
QXOEMS57G77P505Y,QXOEMS57G77P505Y
QVWN9OVFBM75Q8VK,Codice Fiscale non valido
QTILWZ94I28A548V,QTILWZ94I28A548V
QQQTWG63P50A405U,QQQTWG63P50A405U
QPQE2ODHV2TI5YR6,Codice Fiscale non valido
QIFEDM66J92W326W,QIFEDM66J92W326W
QGWDQN63Y11B485A,QGWDQN63Y11B485A
QFDDLY77M75L607Y,QFDDLY77M75L607Y
QDXNS05C8XR44VHZ,Codice Fiscale non valido
QBOIWW27Q26E954O,QBOIWW27Q26E954O
QBGIZZTW29R75XIV,Codice Fiscale non valido
Q7QMFILRADYPE3VR,Codice Fiscale non valido
PZSQUO22Z87D692R,PZSQUO22Z87D692R
PYPHPR55E96A183T,PYPHPR55E96A183T
PXZIFK93H73G357O,PXZIFK93H73G357O
PRWAYM73C52I312E,PRWAYM73C52I312E
PQHHMU22H41R247W,PQHHMU22H41R247W
PPHZOD36C75F246L,PPHZOD36C75F246L
PMMONW87K98B643Q,PMMONW87K98B643Q
PLPVCC93G49P622Q,PLPVCC93G49P622Q
PFLIGS42O59I365F,PFLIGS42O59I365F
PESDCI67A78H987H,PESDCI67A78H987H
PDEUTV02W41X928I,PDEUTV02W41X928I
PCBHZHGNTBAG8FTT,Codice Fiscale non valido
P0GKO60EDJ7PPUL6,Codice Fiscale non valido
OZWWIR69F57M610W,OZWWIR69F57M610W
OZPTGF46U34M581Y,OZPTGF46U34M581Y
OVDRSC95A56A383J,OVDRSC95A56A383J
OSQDOS73E78E533T,OSQDOS73E78E533T
OIHTEJ69X30Z729J,OIHTEJ69X30Z729J
ODQQWU10D82S999L,ODQQWU10D82S999L
O56XNKF33MZKO0VW,Codice Fiscale non valido
NZOVUR143XCLJOHP,Codice Fiscale non valido
NXDTRR42E01G291E,NXDTRR42E01G291E
NVTAKW89X79A423W,NVTAKW89X79A423W
NUKMUD80E15R959X,NUKMUD80E15R959X
NSUAPJ90N95C922D,NSUAPJ90N95C922D
NRCLAG62A11K596W,NRCLAG62A11K596W
NPEXGQ81G32R075X,NPEXGQ81G32R075X
NOWXMO81Z03E363D,NOWXMO81Z03E363D
NNLCYT00U67Q903K,NNLCYT00U67Q903K
NNKMER47X97I824W,NNKMER47X97I824W
NLDIBX65T41W081I,NLDIBX65T41W081I
NKOXAU22H60F711J,NKOXAU22H60F711J
NJCZZT18D16Z859U,NJCZZT18D16Z859U
NICYDG72E17Q380S,NICYDG72E17Q380S
NDIKGY14T40X342X,NDIKGY14T40X342X
MZGCZO51K59H823S,MZGCZO51K59H823S
MXSCIR57R80Y521L,MXSCIR57R80Y521L
MUQMNS10L49O214W,MUQMNS10L49O214W
MQNO66JH39LB2OKM,Codice Fiscale non valido
MJXEOP97V88U043X,MJXEOP97V88U043X
MI48CAG3WYYI2M8Z,Codice Fiscale non valido
MCFQYK44X95O748P,MCFQYK44X95O748P
LZOUPO45F10K568Y,LZOUPO45F10K568Y
LXHJZA91G19Q598K,LXHJZA91G19Q598K
LREWUV05A18K160D,LREWUV05A18K160D
LRAFQJ81N87E199L,LRAFQJ81N87E199L
LPTDGN35V18D097G,LPTDGN35V18D097G
LPBZNT55W04Z270O,LPBZNT55W04Z270O
LKHJCL58Z05Y003P,LKHJCL58Z05Y003P
LGMSVT03D80V050T,LGMSVT03D80V050T
LFQHCH08F23O467H,LFQHCH08F23O467H
LBOUKC08N34V838N,LBOUKC08N34V838N
KYALUN33R55P755X,KYALUN33R55P755X
KTKWCI18V21P411Z,KTKWCI18V21P411Z
KTDQYH93J39W092Z,KTDQYH93J39W092Z
KSOYCH37L99B572L,KSOYCH37L99B572L
KSFSCG07Y61G887U,KSFSCG07Y61G887U
KNPTQH55S07J175W,KNPTQH55S07J175W
KMDJXI43H54T886L,KMDJXI43H54T886L
KIHWFM78Q50A445H,KIHWFM78Q50A445H
KFJCTY00M23O176C,KFJCTY00M23O176C
KCQ87Q5B0YRROG9W,Codice Fiscale non valido
JYNGBZ53I97S481K,JYNGBZ53I97S481K
JVNCQW67T78V366V,JVNCQW67T78V366V
JTIZUF18W20X969B,JTIZUF18W20X969B
JSQABR54G61F624B,JSQABR54G61F624B
JSKUOZ49J27E365D,JSKUOZ49J27E365D
JSCNXO30Z37N864L,JSCNXO30Z37N864L
JPNJIK53D48W499T,JPNJIK53D48W499T
JIMEDT32M74J268D,JIMEDT32M74J268D
JI8JFUPI2YPWZQPC,Codice Fiscale non valido
JFFFMO41Z24E092J,JFFFMO41Z24E092J
JEUFFJ58G97B800V,JEUFFJ58G97B800V
JDNZJO92W71O295P,JDNZJO92W71O295P
JBX28RSSHJQEN6DG,Codice Fiscale non valido
JBBBGY71C87Q364S,JBBBGY71C87Q364S
JAWSCX62P57M740J,JAWSCX62P57M740J
JAODHJ52Y39F258C,JAODHJ52Y39F258C
IZEGHO26B02P048P,IZEGHO26B02P048P
IYLJTT09M46N519C,IYLJTT09M46N519C
IYBRNX55P23X111B,IYBRNX55P23X111B
IWSZGB12K99C586K,IWSZGB12K99C586K
IT5XJG97NO6PAG1B,Codice Fiscale non valido
ISFPVY62G87G422W,ISFPVY62G87G422W
IQHMSW11E29D855P,IQHMSW11E29D855P
IPPSGD75X25U875M,IPPSGD75X25U875M
IKPGWY99S01L281U,IKPGWY99S01L281U
IHFHGH21B97N653K,IHFHGH21B97N653K
IALEUO81I06Y476K,IALEUO81I06Y476K
I2FM14299KVN13NG,Codice Fiscale non valido
HVPAYP34X32T019K,HVPAYP34X32T019K
HUXJZH50L87H163H,HUXJZH50L87H163H
HUUMOY41N95D578M,HUUMOY41N95D578M
HTBOER99N69B690X,HTBOER99N69B690X
HMI8YHAUTHXLRQH6,Codice Fiscale non valido
HMHPEM15Z03Y507P,HMHPEM15Z03Y507P
HJFDQX08S60G335Y,HJFDQX08S60G335Y
HDJJON34M11L129I,HDJJON34M11L129I
HASAXQ99C66I115S,HASAXQ99C66I115S
HAJCDH79Q72F931X,HAJCDH79Q72F931X
H6YJE2N08LQ9Q2OT,Codice Fiscale non valido
GZ03HJSJ339PRWL6,Codice Fiscale non valido
GYFYEP99Z59O587X,GYFYEP99Z59O587X
GXRJAXBS2RZFUZJN,Codice Fiscale non valido
GXNK7NMKMOLFEMRJ,Codice Fiscale non valido
GWNXVW03Z87A211O,GWNXVW03Z87A211O
GVUVYJ24B54T180B,GVUVYJ24B54T180B
GTFNRS72J15J777I,GTFNRS72J15J777I
GNJCTY37H67O247B,GNJCTY37H67O247B
GNBHGENMQP556E1O,Codice Fiscale non valido
GHCFKB72N88F975R,GHCFKB72N88F975R
GFNCTE60O70L057Y,GFNCTE60O70L057Y
GCLSLK03X26Y900P,GCLSLK03X26Y900P
G5UK70S4JH3DG82M,Codice Fiscale non valido
FY11YMDYI59NEMPV,Codice Fiscale non valido
FW4DLTL5K83SWQXT,Codice Fiscale non valido
FTRVQC50O90H491Y,FTRVQC50O90H491Y
FSWC5NMQTC7F9H4R,Codice Fiscale non valido
FRDR1XWH0ORH6C8K,Codice Fiscale non valido
FMBHQO62D52X008Z,FMBHQO62D52X008Z
FGWVTL63P62J127R,FGWVTL63P62J127R
FFZECT41I44T883I,FFZECT41I44T883I
FBNHXQ61N80Q687B,FBNHXQ61N80Q687B
EUVPWN61F87X365K,EUVPWN61F87X365K
EQPTTQ80Q25K528F,EQPTTQ80Q25K528F
EPTWZL22Q90R295F,EPTWZL22Q90R295F
EPGLDP80T82G433N,EPGLDP80T82G433N
EGKHRS05U57D909J,EGKHRS05U57D909J
EDOZLZ36M10M106H,EDOZLZ36M10M106H
EAHYTV31J56F285J,EAHYTV31J56F285J
DUBJWU29Y55G257L,DUBJWU29Y55G257L
DTPGYS47W94L809C,DTPGYS47W94L809C
DRRNDK66O79P254A,DRRNDK66O79P254A
DRNJMF88P96R311Z,DRNJMF88P96R311Z
DPKHFL48K78T796E,DPKHFL48K78T796E
DNPXCK01C50M206C,DNPXCK01C50M206C
DLEHUP83Q18X229I,DLEHUP83Q18X229I
DJMEWE11G83R478R,DJMEWE11G83R478R
DCTLFI40B71T292F,DCTLFI40B71T292F
D9NMTCK5ZDZLN831,Codice Fiscale non valido
D9J2Y3ZLHY6ESCHC,Codice Fiscale non valido
CZQXSE38M08G132L,CZQXSE38M08G132L
CT0EBTUNQH5QO0J2,Codice Fiscale non valido
CPPMHB50W08S628F,CPPMHB50W08S628F
CNJOGR36S39P922V,CNJOGR36S39P922V
CHQKHG61P82X532X,CHQKHG61P82X532X
CGSENP06T50D844U,CGSENP06T50D844U
CEWKOS11S10M262J,CEWKOS11S10M262J
CEVCCZ98F51T456Q,CEVCCZ98F51T456Q
CEDJRF25Q20V902A,CEDJRF25Q20V902A
CDOCYI60V29P630F,CDOCYI60V29P630F
CBWLJP85Q41Q796K,CBWLJP85Q41Q796K
C5Y6LT0BAO2PXPL2,Codice Fiscale non valido
BZVYHY25X15Q317I,BZVYHY25X15Q317I
BZB8TVVL1V5Y1L4A,Codice Fiscale non valido
BXLZHB24F88E165M,BXLZHB24F88E165M
BXGN4XWKWGHA9OF7,Codice Fiscale non valido
BTZYMG36H65S916M,BTZYMG36H65S916M
BTYASU70O26V039K,BTYASU70O26V039K
BRRXLV34K19D203T,BRRXLV34K19D203T
BOXDGY1G1RCDU5DE,Codice Fiscale non valido
BOCXGS59A42E071P,BOCXGS59A42E071P
BLYOUX17S36Q582L,BLYOUX17S36Q582L
BIBXTK95A72O211K,BIBXTK95A72O211K
BHOBPC09I47T869J,BHOBPC09I47T869J
BG6PPZGOWMOQEYVH,Codice Fiscale non valido
BEJIRW18X30X838I,BEJIRW18X30X838I
BALVZH63G28A418I,BALVZH63G28A418I
BAJPJR8Q0K33NN1A,Codice Fiscale non valido
B5YTXW6O3JNUJ5LI,Codice Fiscale non valido
AZPXOQ26B20Z413F,AZPXOQ26B20Z413F
AYMDMH99L60X641Y,AYMDMH99L60X641Y
AQSSDX05V40O841F,AQSSDX05V40O841F
AN1GC72XYZIDIZ1I,Codice Fiscale non valido
AKXZAI33O43Q394N,AKXZAI33O43Q394N
AFOPOT00Q04Z335W,AFOPOT00Q04Z335W
ADFTKR56A42P968P,ADFTKR56A42P968P
ABCFSX01R70N017T,ABCFSX01R70N017T
AAQKXM48P31N397T,AAQKXM48P31N397T
9Q0LULVUCA2BV8L6,Codice Fiscale non valido
8ZZXMEOO1B01DO0D,Codice Fiscale non valido
8QKFBUCVXOXVGCTN,Codice Fiscale non valido
80DCJU6SZ8MWBQZ3,Codice Fiscale non valido
7GFYI8BDVSBRSA3S,Codice Fiscale non valido
7GBHP8V39RPAAEFY,Codice Fiscale non valido
6MFLJIYB8YJ9N1JZ,Codice Fiscale non valido
5MDVS4QWUAOW2UKE,Codice Fiscale non valido
5IIBBRQQSHIX69EV,Codice Fiscale non valido
4RLB2HUYZB3L84L5,Codice Fiscale non valido
3ZAWE7DN46WHLMZF,Codice Fiscale non valido
3J9HIHTW77F4VUTG,Codice Fiscale non valido
2VT53VD324CIWB2H,Codice Fiscale non valido
2EPFJL490DKAWEUS,Codice Fiscale non valido
1NDHAN1D8325WDKI,Codice Fiscale non valido
09YE72CNBHN3OK3L,Codice Fiscale non valido
02JGY9WQYPW38BHH,Codice Fiscale non valido
